NOME,DISTRITO
"Escola Básica Fernando Casimiro Pereira da Silva, Rio Maior",Santarém
"Escola Básica Mina do Espadanal, Rio Maior",Santarém
"Escola Básica Poeta Ruy Belo, Rio Maior",Santarém
"Escola Básica de Areias, Ferreira do Zêzere",Santarém
Escola Básica de Ferreira do Zêzere,Santarém
"Escola Básica Professor Inocêncio Carrilho Lopes, Azambuja",Lisboa
"Escola Básica Boavida Canada, Azambuja",Lisboa
"Escola Básica de Vila Nova da Rainha, Azambuja",Lisboa
Escola Básica de Azambuja,Lisboa
"Escola Básica do Bairro da Socasa, Azambuja",Lisboa
"Escola Básica da Vermelha, Cadaval",Lisboa
"Escola Básica da Sobrena, Cadaval",Lisboa
"Escola Básica da Murteira, Cadaval",Lisboa
"Escola Básica da Dagorda, Cadaval",Lisboa
"Escola Básica de Alguber, Cadaval",Lisboa
Escola Básica n.º 1 do Cadaval,Lisboa
"Escola Básica do Vilar, Cadaval",Lisboa
"Escola Básica do Painho, Cadaval",Lisboa
"Escola Básica de Figueiros, Cadaval",Lisboa
"Escola Básica de Chão do Sapo, Cadaval",Lisboa
"Escola Básica São Domingos, Santarém",Santarém
"Escola Básica n.º 1 de Vale de Santarém, Santarém",Santarém
"Escola Básica de Fontainhas, Santarém",Santarém
"Escola Básica de Combatentes, Santarém",Santarém
"Escola Básica da Póvoa da Isenta, Santarém",Santarém
"Escola Básica do Mergulhão, Santarém",Santarém
"Escola Básica da Portela das Padeiras, Santarém",Santarém
"Escola Básica da Póvoa de Santarém, Santarém",Santarém
"Escola Básica Salgueiro Maia, Santarém",Santarém
"Escola Básica de Vale de Figueira, Santarém",Santarém
"Escola Básica de São Bento, Santarém",Santarém
"Escola Básica de Perofilho, Santarém",Santarém
"Escola Básica de Alcanhões, Santarém",Santarém
"Escola Básica de Abitureiras, Santarém",Santarém
"Escola Básica da Romeira, Santarém",Santarém
"Escola Básica da Ribeira de Santarém, Santarém",Santarém
"Escola Básica da Moçarria, Santarém",Santarém
"Escola Básica de Aveiras de Cima, Azambuja",Lisboa
"Escola Básica de Vale do Brejo, Azambuja",Lisboa
"Escola Básica de Vale do Paraíso, Azambuja",Lisboa
"Escola Básica António Gedeão, Entroncamento",Santarém
"Escola Básica do Bonito, Entroncamento",Santarém
"Escola Básica da Zona Verde, Entroncamento",Santarém
Escola Básica de Alenquer,Lisboa
"Escola Básica de Paredes, Alenquer",Lisboa
"Escola Básica de Cheganças, Alenquer",Lisboa
"Escola Básica de Santana da Carnota, Alenquer",Lisboa
"Escola Básica de Ota, Alenquer",Lisboa
"Escola Básica de Abrigada, Alenquer",Lisboa
"Escola Básica de Cabanas de Torres, Alenquer",Lisboa
"Escola Básica de Canados, Alenquer",Lisboa
"Escola Básica n.º 1 de Freiria, Torres Vedras",Lisboa
"Escola Básica do Varatojo, Torres Vedras",Lisboa
"Escola Básica do Barro, Torres Vedras",Lisboa
"Escola Básica de Ventosa, Torres Vedras",Lisboa
Escola Básica de Torres Vedras,Lisboa
"Escola Básica de São Pedro da Cadeira, Torres Vedras",Lisboa
"Escola Básica de São Domingos de Carmões, Torres Vedras",Lisboa
"Escola Básica de Santa Cruz, Torres Vedras",Lisboa
"Escola Básica de Runa, Torres Vedras",Lisboa
"Escola Básica de Dois Portos, Torres Vedras",Lisboa
"Escola Básica de Chãos, Torres Vedras",Lisboa
"Escola Básica da Silveira, Torres Vedras",Lisboa
"Escola Básica da Serra da Vila, Torres Vedras",Lisboa
"Escola Básica da Carvoeira, Torres Vedras",Lisboa
"Escola Básica Américo Marinho, Barreiro",Setúbal
Escola Básica n.º 6 do Barreiro,Setúbal
Escola Básica n.º 5 do Barreiro,Setúbal
"Escola Básica e Secundária do Centro de Portugal, Vila de Rei",Castelo Branco
"Escola Básica de Travassós de Cima, Viseu",Viseu
"Escola Básica de Sanguinhedo de Cota, Viseu",Viseu
"Escola Básica de Cepões, Viseu",Viseu
"Escola Básica de Cavernães, Viseu",Viseu
"Escola Básica de Casal de Esporão, Viseu",Viseu
"Escola Básica n.º 2 de Mundão, Viseu",Viseu
"Escola Básica n.º 1 de Mundão, Viseu",Viseu
"Escola Básica José Malhoa, Figueiró dos Vinhos",Leiria
"Escola Básica de Arega, Figueiró dos Vinhos",Leiria
"Escola Básica de Almofala de Baixo, Figueiró dos Vinhos",Leiria
"Escola Básica Professor Rolando de Oliveira, Abraveses, Viseu",Viseu
"Escola Básica de Vila Nova do Campo, Viseu",Viseu
"Escola Básica de Torredeita, Viseu",Viseu
"Escola Básica de Tondelinha, Orgens, Viseu",Viseu
"Escola Básica de Póvoa de Abraveses, Viseu",Viseu
"Escola Básica de Portela, Viseu",Viseu
"Escola Básica de Pascoal, Viseu",Viseu
"Escola Básica de Oliveira de Baixo, Viseu",Viseu
"Escola Básica de Moselos, Viseu",Viseu
"Escola Básica de Lustosa, Viseu",Viseu
